CMDLINE python benchs/bench_polysemous_sift1m.py
MEM 0.125000 1694449200.0067
MEM 19.000000 1694449200.1071
MEM 32.949219 1694449200.2074
MEM 42.746094 1694449200.3078
MEM 50.183594 1694449200.4081
MEM 65.824219 1694449200.5112
MEM 84.511719 1694449200.6120
MEM 84.511719 1694449200.7124
MEM 84.511719 1694449200.8128
MEM 84.511719 1694449200.9131
MEM 84.511719 1694449201.0134
MEM 84.511719 1694449201.1137
MEM 84.511719 1694449201.2143
MEM 84.511719 1694449201.3147
MEM 84.511719 1694449201.4151
MEM 84.511719 1694449201.5157
MEM 84.511719 1694449201.6161
MEM 84.511719 1694449201.7167
MEM 100.386719 1694449201.8175
MEM 100.386719 1694449201.9180
MEM 100.386719 1694449202.0185
MEM 100.386719 1694449202.1190
MEM 100.386719 1694449202.2195
MEM 100.386719 1694449202.3200
MEM 100.386719 1694449202.4209
MEM 100.386719 1694449202.5215
MEM 100.386719 1694449202.6220
MEM 100.386719 1694449202.7226
MEM 100.386719 1694449202.8231
MEM 100.386719 1694449202.9237
MEM 100.386719 1694449203.0242
MEM 100.386719 1694449203.1252
MEM 100.386719 1694449203.2258
MEM 100.386719 1694449203.3267
MEM 100.386719 1694449203.4273
MEM 100.386719 1694449203.5277
MEM 100.386719 1694449203.6282
MEM 100.386719 1694449203.7288
MEM 100.386719 1694449203.8297
MEM 100.386719 1694449203.9302
MEM 100.386719 1694449204.0308
MEM 100.386719 1694449204.1313
MEM 100.386719 1694449204.2318
MEM 100.386719 1694449204.3328
MEM 100.386719 1694449204.4333
MEM 100.386719 1694449204.5343
MEM 100.386719 1694449204.6349
MEM 100.386719 1694449204.7355
MEM 100.386719 1694449204.8361
MEM 100.386719 1694449204.9367
MEM 100.386719 1694449205.0373
MEM 100.386719 1694449205.1379
MEM 100.386719 1694449205.2383
MEM 100.386719 1694449205.3408
MEM 100.386719 1694449205.4420
MEM 100.386719 1694449205.5430
MEM 100.386719 1694449205.6436
MEM 100.386719 1694449205.7441
MEM 100.386719 1694449205.8447
MEM 100.386719 1694449205.9466
MEM 100.386719 1694449206.0471
MEM 100.386719 1694449206.1477
MEM 100.386719 1694449206.2482
MEM 100.386719 1694449206.3488
MEM 100.386719 1694449206.4493
MEM 100.386719 1694449206.5500
MEM 100.386719 1694449206.6506
MEM 100.386719 1694449206.7515
MEM 100.386719 1694449206.8534
MEM 100.386719 1694449206.9540
MEM 100.386719 1694449207.0545
MEM 100.386719 1694449207.1550
MEM 100.386719 1694449207.2559
MEM 100.386719 1694449207.3565
MEM 100.386719 1694449207.4574
