# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles:u'
# Event count (approx.): 699789103559
#
# Overhead  Command  Shared Object                                      Symbol                                                                                                                                                            
# ........  .......  .................................................  ..................................................................................................................................................................
#
    20.52%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee040
    16.86%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee06f
    15.49%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee047
    12.76%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee08d
     2.95%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee0a4
     2.76%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee09f
     2.33%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee1b7
     2.32%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee131
     2.31%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee17e
     2.29%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee0fc
     2.05%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee09a
     1.52%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee191
     1.44%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee10b
     1.18%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee197
     1.13%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee111
     0.81%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee056
     0.77%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee073
     0.68%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee015
     0.66%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee0ef
     0.65%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee11f
     0.64%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee1a5
     0.64%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee088
     0.63%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee171
     0.63%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee036
     0.33%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee07b
     0.32%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018c99
     0.30%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018b21
     0.28%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee091
     0.20%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee095
     0.15%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee07f
     0.13%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee083
     0.13%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018c8b
     0.12%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018b13
     0.09%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018c88
     0.08%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee1b2
     0.08%  python   libgomp-a34b3233.so.1.0.0                          [.] 0x0000000000018b10
     0.07%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee05f
     0.07%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] _ZNSt23mersenne_twister_engineImLm32ELm624ELm397ELm31ELm2567483615ELm11ELm4294967295ELm7ELm2636928640ELm15ELm4022730752ELm18ELm1812433253EE11_M_gen_randEv
     0.07%  python   [unknown]                                          [k] 0xffffffffaa0015f0
     0.07%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee12c
     0.06%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000073d56d
     0.05%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee03b
     0.04%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee068
     0.04%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074d21a
     0.04%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074d05d
     0.04%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000004463e4
     0.04%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074cfff
     0.03%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee1ae
     0.03%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee128
     0.03%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee031
     0.03%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074d0b8
     0.03%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074cfa5
     0.03%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000004463cc
     0.03%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee018
     0.03%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee179
     0.03%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x000000000074cf53
     0.03%  python   _swigfaiss_avx2.cpython-311-x86_64-linux-gnu.so    [.] 0x00000000005ee0f3
