CMDLINE /home/ashucoder/Projects/aveti/faiss/venv/bin/python benchs/bench_polysemous_sift1m.py
MEM 0.125000 1694444830.0919
MEM 20.804688 1694444830.1923
MEM 33.871094 1694444830.2926
MEM 44.523438 1694444830.3930
MEM 53.664062 1694444830.4934
MEM 69.835938 1694444830.5939
MEM 84.464844 1694444830.6942
MEM 84.464844 1694444830.7945
MEM 84.464844 1694444830.8948
MEM 84.464844 1694444830.9951
MEM 84.464844 1694444831.0954
MEM 84.464844 1694444831.1957
MEM 84.464844 1694444831.2961
MEM 84.464844 1694444831.3964
MEM 84.464844 1694444831.4968
MEM 84.464844 1694444831.5971
MEM 84.464844 1694444831.6974
MEM 93.089844 1694444831.7980
MEM 99.964844 1694444831.8985
MEM 99.964844 1694444831.9990
MEM 99.964844 1694444832.0995
MEM 99.964844 1694444832.2000
MEM 99.964844 1694444832.3005
MEM 99.964844 1694444832.4010
MEM 99.964844 1694444832.5015
MEM 99.964844 1694444832.6020
MEM 99.964844 1694444832.7025
MEM 99.964844 1694444832.8030
MEM 99.964844 1694444832.9035
MEM 99.964844 1694444833.0042
MEM 99.964844 1694444833.1048
MEM 99.964844 1694444833.2053
MEM 99.964844 1694444833.3059
MEM 99.964844 1694444833.4064
MEM 99.964844 1694444833.5070
MEM 99.964844 1694444833.6075
MEM 99.964844 1694444833.7080
MEM 99.964844 1694444833.8085
MEM 99.964844 1694444833.9091
MEM 99.964844 1694444834.0097
MEM 99.964844 1694444834.1109
MEM 99.964844 1694444834.2114
MEM 99.964844 1694444834.3123
MEM 99.964844 1694444834.4129
MEM 99.964844 1694444834.5137
MEM 99.964844 1694444834.6142
MEM 99.964844 1694444834.7151
MEM 99.964844 1694444834.8158
MEM 99.964844 1694444834.9164
MEM 99.964844 1694444835.0170
MEM 99.964844 1694444835.1175
MEM 99.964844 1694444835.2188
MEM 99.964844 1694444835.3193
MEM 99.964844 1694444835.4199
MEM 99.964844 1694444835.5204
MEM 99.964844 1694444835.6210
MEM 99.964844 1694444835.7215
MEM 99.964844 1694444835.8224
MEM 99.964844 1694444835.9229
MEM 99.964844 1694444836.0235
MEM 99.964844 1694444836.1240
MEM 99.964844 1694444836.2247
MEM 99.964844 1694444836.3253
MEM 99.964844 1694444836.4259
MEM 99.964844 1694444836.5266
MEM 99.964844 1694444836.6272
MEM 99.964844 1694444836.7278
MEM 99.964844 1694444836.8285
MEM 99.964844 1694444836.9290
MEM 99.964844 1694444837.0296
MEM 99.964844 1694444837.1305
MEM 99.964844 1694444837.2310
MEM 99.964844 1694444837.3315
MEM 99.964844 1694444837.4321
MEM 99.964844 1694444837.5326
MEM 99.964844 1694444837.6331
MEM 99.964844 1694444837.7336
MEM 99.964844 1694444837.8350
MEM 99.964844 1694444837.9356
MEM 99.964844 1694444838.0363
MEM 99.964844 1694444838.1369
MEM 99.964844 1694444838.2378
MEM 99.964844 1694444838.3387
MEM 99.964844 1694444838.4393
MEM 99.964844 1694444838.5416
MEM 99.964844 1694444838.6421
MEM 99.964844 1694444838.7432
MEM 99.964844 1694444838.8437
MEM 99.964844 1694444838.9442
MEM 99.964844 1694444839.0448
MEM 99.964844 1694444839.1452
MEM 99.964844 1694444839.2457
MEM 99.964844 1694444839.3463
MEM 99.964844 1694444839.4467
MEM 99.964844 1694444839.5473
MEM 99.964844 1694444839.6481
MEM 99.964844 1694444839.7486
MEM 99.964844 1694444839.8491
MEM 99.964844 1694444839.9497
MEM 99.964844 1694444840.0507
MEM 99.964844 1694444840.1539
MEM 99.964844 1694444840.2548
MEM 99.964844 1694444840.3560
MEM 99.964844 1694444840.4565
MEM 99.964844 1694444840.5575
MEM 99.964844 1694444840.6582
